category,is_page_list,url
moquette_et_jonc_de_mer,False,https://www.castorama.fr/carrelage-sol/moquette-et-jonc-de-mer/cat_id_0001814.cat
plinthe,False,https://www.castorama.fr/carrelage-sol/plinthe/cat_id_0001808.cat
revetement_mural,False,https://www.castorama.fr/carrelage-sol/revetement-mural/cat_id_0001887.cat
barre_de_seuil_nez_de_marche_et_profile_de_renovation,False,https://www.castorama.fr/carrelage-sol/parquet-sol-stratifie-et-plancher/barre-de-seuil-et-nez-de-marche/cat_id_3233.cat
preparation_et_finition_du_sol,False,https://www.castorama.fr/carrelage-sol/preparation-et-finition-du-sol/cat_id_0001805.cat
moulure_corniche_et_rosace_de_plafond,False,https://www.castorama.fr/decoration-interieure/papier-peint-et-revetement-mural/moulure-de-plafond-corniche-et-rosace/cat_id_5060.cat
tapis_et_paillasson,False,https://www.castorama.fr/decoration-interieure/decoration-textile/tapis-et-paillasson/cat_id_3074.cat
kit_dressing,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/kit-dressing/cat_id_3009.cat
dressing,False,https://www.castorama.fr/rangement-dressing/dressing-et-armoire/dressing/cat_id_0001135.cat
armoire_penderie,False,https://www.castorama.fr/rangement-dressing/dressing-et-armoire/armoire/cat_id_0001136.cat
portant_vetement,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/penderie-et-portant/cat_id_3020.cat
meuble,False,https://www.castorama.fr/rangement-dressing/meuble-de-rangement/cat_id_0001137.cat
rangement_modulable,False,https://www.castorama.fr/rangement-dressing/solution-de-rangement-modulable-atomia/cat_id_0001150.cat
porte_de_placard,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/porte-de-placard/cat_id_3885.cat
etagere,False,https://www.castorama.fr/etagere/cat_id_0003248.cat
rangement_chaussures,False,https://www.castorama.fr/rangement-chaussures/cat_id_0003873.cat
amenagement_interieur_de_placard,False,https://www.castorama.fr/rangement-dressing/dressing-amenagement-de-placard/cat_id_3003.cat
rangement_bijoux,False,https://www.castorama.fr/rangement-bijoux/cat_id_0005267.cat
paravent,False,https://www.castorama.fr/paravent/cat_id_0004383.cat
amenagement_bureau,False,https://www.castorama.fr/rangement-dressing/amenagement-bureau/cat_id_0001572.cat
rangement_garage_et_cave,False,https://www.castorama.fr/rangement-dressing/rangement-garage-et-cave/cat_id_3040.cat
buanderie,False,https://www.castorama.fr/rangement-dressing/rangement-garage-et-cave/buanderie/cat_id_0001114.cat
nos_collections_rangement_&_dressing,False,https://www.castorama.fr/rangement-dressing/nos-collections-rangement-dressing/cat_id_5211.cat
meuble_de_salle_de_bains,False,https://www.castorama.fr/salle-de-bains-et-wc/meuble-de-salle-de-bains/cat_id_3393.cat
douche,False,https://www.castorama.fr/salle-de-bains-et-wc/douche/cat_id_3371.cat
lavabo_vasque_et_plan_vasque,False,https://www.castorama.fr/salle-de-bains-et-wc/lavabo-vasque-et-plan-vasque/cat_id_3928.cat
wc_et_lave_mains,False,https://www.castorama.fr/salle-de-bains-et-wc/wc-et-lave-mains/cat_id_3934.cat
baignoire_et_accessoires,False,https://www.castorama.fr/salle-de-bains-et-wc/baignoire/cat_id_4350.cat
colonne_et_pommeau_de_douche,False,https://www.castorama.fr/salle-de-bains-et-wc/colonne-et-pommeau-de-douche/cat_id_5154.cat
robinet_et_mitigeur_de_salle_de_bains,False,https://www.castorama.fr/salle-de-bains-et-wc/robinet-de-salle-de-bains/cat_id_3401.cat
accessoires_de_salle_de_bains,False,https://www.castorama.fr/salle-de-bains-et-wc/accessoires-de-salle-de-bains/cat_id_3323.cat
salle_de_bains_pmr,False,https://www.castorama.fr/salle-de-bains-et-wc/accessibilite-et-securite-de-la-salle-de-bains/cat_id_3497.cat
seche_serviettes,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/seche-serviettes/cat_id_333.cat
panneau_mural_de_salle_de_bains,False,https://www.castorama.fr/salle-de-bains-et-wc/douche/panneau-mural/cat_id_5425.cat
peinture_cuisine_et_salle_de_bains,False,https://www.castorama.fr/peinture/peinture-interieure/peinture-cuisine-et-salle-de-bains/cat_id_3627.cat
luminaire_pour_salle_de_bains,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-interieur/luminaire-de-salle-de-bains/cat_id_1344.cat
panneau_a_carreler,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/cloison/panneau-a-carreler/cat_id_4206.cat
mastic_salle_de_bains_et_cuisine,False,https://www.castorama.fr/mastic-salle-de-bains-et-cuisine/cat_id_0002923.cat
vmc_et_aerateur,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/vmc-et-aerateur/cat_id_420.cat
entretien_de_la_salle_de_bains,False,https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/entretien-de-la-salle-de-bains/cat_id_2779.cat
radiateur_soufflant,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/chauffage-d-appoint/radiateur-soufflant/cat_id_308.cat
chauffage_electrique,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/chauffage-electrique/cat_id_1482.cat
radiateur,False,https://www.castorama.fr/radiateur/cat_id_0003361.cat
chauffage_d_appoint,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/chauffage-d-appoint/cat_id_1795.cat
chauffage_central,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/chauffage-central/cat_id_344.cat
chauffage_bois_et_bois_de_chauffage,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/chauffage-bois-et-bois-de-chauffage/cat_id_367.cat
climatiseur_ventilateur,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/climatiseur-ventilateur/cat_id_3308.cat
traitement_de_l_air,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/deshumidificateur-humidificateur-purificateur-d-air/cat_id_421.cat
chauffage_au_sol,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/chauffage-electrique/chauffage-au-sol-electrique/cat_id_3944.cat
thermostat,False,https://www.castorama.fr/chauffage-climatisation-et-ventilation/thermostat/cat_id_1122.cat
treillage_et_treillis,False,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/treillage-panneau-treillis-et-arceau/cat_id_907.cat
peinture_boiseries_exterieures,False,https://www.castorama.fr/peinture/peinture-exterieure/peinture-exterieure-bois/cat_id_2866.cat
vernis_pour_bois_exterieur,False,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/vernis-exterieur/cat_id_2875.cat
produit_de_renovation_multi_supports,False,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/produit-de-renovation/produit-de-renovation-multisupport/cat_id_2439.cat
lasure_exterieure,False,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/lasure-exterieure/cat_id_3669.cat
saturateur_pour_terrasse,False,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/huile-et-saturateur/cat_id_771.cat
huile_pour_bois_exterieur,False,https://www.castorama.fr/huile-pour-bois-exterieur/cat_id_0004369.cat
peinture_exterieure_facade_et_crepi,False,https://www.castorama.fr/peinture/peinture-exterieure/peinture-exterieure-facade-et-crepi/cat_id_3680.cat
peinture_exterieure_multi_supports,False,https://www.castorama.fr/peinture/peinture-exterieure/peinture-exterieure-multi-supports/cat_id_4218.cat
peinture_sol_exterieur_et_garage,False,https://www.castorama.fr/peinture/peinture-exterieure/peinture-sol-exterieur-et-garage/cat_id_3408.cat
peinture_exterieure_fer,False,https://www.castorama.fr/peinture/peinture-exterieure/peinture-exterieure-fer/cat_id_997.cat
produit_anti_rouille_et_decapant_metal,False,https://www.castorama.fr/peinture/peinture-exterieure/anti-rouille-et-traitement-du-fer/cat_id_4139.cat
applique_murale_exterieure,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/applique-exterieure/cat_id_1115.cat
